Model,Control_F1,Control_Rec,Control_Prec,Contrast_F1,Contrast_Rec,Contrast_Prec,Faithfulness,Consistency,para_Consistency,cont_Faithfulness,cont_Consistency,numerical_para_Consistency,numerical_cont_Faithfulness,numerical_cont_Consistency,definitions_Consistency,para_F1,para_Rec,para_Prec,cont_F1,cont_Rec,cont_Prec,numerical_para_F1,numerical_para_Rec,numerical_para_Prec,numerical_cont_F1,numerical_cont_Rec,numerical_cont_Prec,definitions_F1,definitions_Rec,definitions_Prec
cot_0_shot_mistrallite_7b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6153288201160542,0.5,1.0,1.0,0.59375,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_shot_mistral_7b_instruct_retriever_random,0.6693657219973009,0.505091649694501,0.992,0.4939005317485143,0.32875286279408705,0.9924575738529227,0.08564814814814815,0.4086073500967118,0.5106666666666667,0.09733333333333333,0.08666666666666667,0.41964285714285715,0.008771929824561403,0.05555555555555555,0.504,0.6678733031674208,0.5054794520547945,0.984,0.0,0.0,0.0,0.5833333333333334,0.4117647058823529,1.0,0.0,0.0,0.0,0.6684491978609626,0.5020080321285141,1.0
2_shot_mistrallite_7b_retriever_random,0.509727626459144,0.4962121212121212,0.524,0.41726618705035967,0.33734005428460645,0.5468258956631049,0.5023148148148148,0.5164410058027079,0.5226666666666666,0.5066666666666667,0.532,0.48214285714285715,0.47368421052631576,0.42592592592592593,0.5173333333333333,0.549685534591195,0.5202380952380953,0.5826666666666667,0.0,0.0,0.0,0.4956521739130434,0.41007194244604317,0.6263736263736264,0.0,0.0,0.0,0.5094850948509485,0.5179063360881543,0.5013333333333333
pretrained_fine_tune_mistrallite_7b_contrastive,0.7969052224371374,0.7715355805243446,0.824,0.5870818915801616,0.5423548215237081,0.6398491514770585,0.7199074074074074,0.7122823984526112,0.7326666666666667,0.6986666666666667,0.712,0.6785714285714286,0.8596491228070176,0.8950617283950617,0.6773333333333333,0.7470031545741325,0.7089820359281437,0.7893333333333333,0.0,0.0,0.0,0.5384615384615385,0.6461538461538462,0.46153846153846156,0.0,0.0,0.0,0.6134185303514378,0.7649402390438247,0.512
cot_0_shot_explicit_llama2_13b_chat,0.6028368794326241,0.5414012738853503,0.68,0.4721085505061382,0.35910878112712974,0.688874921433061,0.5011574074074074,0.511605415860735,0.542,0.488,0.43733333333333335,0.5357142857142857,0.5877192982456141,0.48148148148148145,0.518,0.5984804208065458,0.5327783558792925,0.6826666666666666,0.0,0.0,0.0,0.5315315315315315,0.45038167938931295,0.6483516483516484,0.0,0.0,0.0,0.5922165820642977,0.5131964809384164,0.7
fine_tune_explicit_mistrallite_7b,0.752212389380531,0.8415841584158416,0.68,0.5450565487048523,0.6495652173913044,0.46951602765556255,0.8668981481481481,0.7263056092843327,0.7493333333333333,0.8533333333333334,0.8413333333333334,0.6830357142857143,0.956140350877193,0.9753086419753086,0.6253333333333333,0.7177177177177178,0.8213058419243986,0.6373333333333333,0.0,0.0,0.0,0.46616541353383456,0.7380952380952381,0.34065934065934067,0.0,0.0,0.0,0.4585741811175336,0.8263888888888888,0.31733333333333336
late_coupled_4_shot_llama2_13b_chat_retriever_bm25,0.6024096385542168,0.5287009063444109,0.7,0.47583333333333333,0.3558741040822686,0.7177875549968573,0.4386574074074074,0.5089458413926499,0.5313333333333333,0.44,0.45466666666666666,0.48660714285714285,0.4298245614035088,0.4382716049382716,0.5246666666666666,0.6003411028993746,0.5232903865213082,0.704,0.0,0.0,0.0,0.5418326693227091,0.425,0.7472527472527473,0.0,0.0,0.0,0.6049861495844876,0.5175355450236967,0.728
2_shot_explicit_llama2_13b_chat_retriever_bm25,0.6047297297297297,0.5233918128654971,0.716,0.4900930044480389,0.36125186289120714,0.7617850408548082,0.4340277777777778,0.5084622823984526,0.536,0.43866666666666665,0.42933333333333334,0.5044642857142857,0.40350877192982454,0.49382716049382713,0.5226666666666666,0.6133333333333334,0.5257142857142857,0.736,0.0,0.0,0.0,0.5542168674698794,0.43670886075949367,0.7582417582417582,0.0,0.0,0.0,0.6227608008429927,0.514808362369338,0.788
late_2_shot_llama2_13b_chat_retriever_bm25,0.6329113924050632,0.5235602094240838,0.8,0.5012987012987014,0.35561989997367727,0.8491514770584538,0.34837962962962965,0.48621856866537716,0.536,0.3506666666666667,0.33066666666666666,0.5089285714285714,0.3333333333333333,0.35185185185185186,0.5253333333333333,0.640495867768595,0.5227655986509275,0.8266666666666667,0.0,0.0,0.0,0.5864661654135338,0.44571428571428573,0.8571428571428571,0.0,0.0,0.0,0.647175421209118,0.5149842271293376,0.8706666666666667
0_shot_explicit_mistrallite_7b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6153288201160542,0.5,1.0,1.0,0.59375,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
