Fine tune,Fine tune common adapter,Fine tune section adapter,Fine tune triplet adapter,Further fine tuned,Merging,CoT,k shot,Fusion Strategy,Explicit Evidence,Model,Retriever,Control_F1,Control_Rec,Control_Prec,Contrast_F1,Contrast_Rec,Contrast_Prec,Faithfulness,Consistency,para_Consistency,cont_Faithfulness,cont_Consistency,numerical_para_Consistency,numerical_cont_Faithfulness,numerical_cont_Consistency,definitions_Consistency,para_F1,para_Rec,para_Prec,cont_F1,cont_Rec,cont_Prec,numerical_para_F1,numerical_para_Rec,numerical_para_Prec,numerical_cont_F1,numerical_cont_Rec,numerical_cont_Prec,definitions_F1,definitions_Rec,definitions_Prec
,,,,,,yes,0,,no,MistralLite-7B,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.61532882,0.5,1.0,1.0,0.59375,1.0,1.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
,,,,,,no,0,,no,MistralLite-7B,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.61532882,0.5,1.0,1.0,0.59375,1.0,1.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
,,,,,,no,0,,yes,MistralLite-7B,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.61532882,0.5,1.0,1.0,0.59375,1.0,1.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
yes,,,LoRA,,Single,no,0,,no,MistralLite-7B,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.61532882,0.5,1.0,1.0,0.59375,1.0,1.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
yes,LoRA,,,,Single,no,0,,no,MistralLite-7B,,0.747826087,0.819047619,0.688,0.54676259,0.639192599,0.477686989,0.872685185,0.721953578,0.743333333,0.864,0.834666667,0.669642857,0.929824561,0.956790123,0.626666667,0.715025907,0.803660566,0.644,0,0,0,0.447761194,0.697674419,0.32967033,0,0,0,0.468690702,0.8125,0.329333333
yes,LoRA,,,,Single,no,0,,no,Meditron-7B,,0.197952218,0.674418605,0.116,0.088664422,0.413612565,0.049654305,0.956018519,0.616537718,0.505333333,0.958666667,0.98,0.625,0.938596491,0.969135802,0.506666667,0.074812968,0.576923077,0.04,0,0,0,0.176470588,0.818181818,0.098901099,0,0,0,0.097560976,0.571428571,0.053333333
,,,,,,no,0,,no,GPT-4,,0.775055679,0.874371859,0.696,0.656558533,0.747791165,0.585166562,0.947916667,0.775386847,0.787333333,0.949333333,0.870666667,0.741071429,0.938596491,0.975308642,0.699333333,0.76967509,0.839370079,0.710666667,0,0,0,0.602739726,0.8,0.483516484,0,0,0,0.610871441,0.865525672,0.472
yes,LoRA,,LoRA,,"Weighted averaged (2, 1)",no,0,,no,MistralLite-7B,,0.718535469,0.839572193,0.628,0.485823755,0.622178606,0.398491515,0.869212963,0.702852998,0.722666667,0.86,0.850666667,0.660714286,0.929824561,0.938271605,0.59,0.679012346,0.805860806,0.586666667,0,0,0,0.396825397,0.714285714,0.274725275,0,0,0,0.354669465,0.832512315,0.225333333
yes,LoRA,,,,Single,no,0,,yes,MistralLite-7B,,0.752212389,0.841584158,0.68,0.545056549,0.649565217,0.469516028,0.866898148,0.726305609,0.749333333,0.853333333,0.841333333,0.683035714,0.956140351,0.975308642,0.625333333,0.717717718,0.821305842,0.637333333,0,0,0,0.466165414,0.738095238,0.340659341,0,0,0,0.458574181,0.826388889,0.317333333
yes,,,LoRA,,"Weighted averaged (0.5, 1)",no,0,,no,MistralLite-7B,,0.757111597,0.835748792,0.692,0.529583638,0.632083697,0.455688246,0.864583333,0.716876209,0.744666667,0.857333333,0.84,0.665178571,0.912280702,0.938271605,0.611333333,0.714817573,0.809443508,0.64,0,0,0,0.444444444,0.681818182,0.32967033,0,0,0,0.424481737,0.817490494,0.286666667
